agent,path,preferred,results_parseable,task_count,required_files_present,workspace_root_present,transcript_root_present,score,modified_utc,selected,error
Codex,C:\pinchbench-codex\runs\codex_20260727_174711,True,True,143,6,True,True,2270,2026-07-27T19:05:03.031343+00:00,True,
Codex,C:\pinchbench-codex\runs\codex_20260727_172034,False,True,3,6,True,True,1023,2026-07-27T09:28:50.414200+00:00,False,
Codex,C:\pinchbench-codex\runs\codex_20260727_145725,False,True,3,6,True,True,1023,2026-07-27T07:00:31.365748+00:00,False,
Codex,C:\pinchbench-codex\runs\codex_20260727_141623,False,True,2,6,True,True,1022,2026-07-27T06:17:45.691385+00:00,False,
Codex,C:\pinchbench-codex\runs\codex_20260727_134135,False,True,2,6,True,True,1022,2026-07-27T05:42:23.429262+00:00,False,
Codex,C:\pinchbench-codex\runs\codex_20260727_155513,False,True,1,6,True,True,1021,2026-07-27T07:59:48.223131+00:00,False,
Qwen Code,C:\pinchbench-qwen-code\runs\qwen_code_20260724_175038,True,True,143,6,True,True,2270,2026-07-24T15:23:54.551023+00:00,True,
Qwen Code,C:\pinchbench-qwen-code\runs\qwen_code_20260724_173013,False,True,2,6,True,True,1022,2026-07-24T09:31:29.314890+00:00,False,
Qwen Code,C:\pinchbench-qwen-code\runs\qwen_code_20260724_172234,False,True,2,6,True,True,1022,2026-07-24T09:22:41.645348+00:00,False,
OpenCode,C:\pinchbench-opencode\runs\opencode_20260724_094110,False,True,143,6,True,True,2020,2026-07-24T05:59:41.300694+00:00,True,
OpenCode,C:\pinchbench-opencode\runs\opencode_20260721_143355,False,True,143,6,True,True,2020,2026-07-23T02:11:27.727455+00:00,False,
OpenCode,C:\pinchbench-opencode\runs\opencode_20260724_092919,False,True,5,6,True,True,1025,2026-07-24T01:34:59.469268+00:00,False,
OpenCode,C:\pinchbench-opencode\runs\opencode_20260723_174023,False,True,3,6,True,True,1023,2026-07-23T09:42:12.366405+00:00,False,
OpenCode,C:\pinchbench-opencode\runs\opencode_20260721_142247,False,True,1,6,True,True,1021,2026-07-21T06:23:52.235598+00:00,False,
OpenCode,C:\pinchbench-opencode\runs\opencode_20260721_134629,False,True,1,6,True,True,1021,2026-07-21T05:48:16.883314+00:00,False,
OpenCode,C:\pinchbench-opencode\runs\opencode_20260721_134216,False,True,1,6,True,True,1021,2026-07-21T05:42:25.226210+00:00,False,
CCB,C:\pinchbench-ccb\runs\ccb_20260722_151353,False,True,143,6,True,True,2020,2026-07-22T12:52:45.001674+00:00,True,
CCB,C:\pinchbench-ccb\runs\ccb_20260722_145357,False,True,4,6,True,True,1024,2026-07-22T07:04:26.324752+00:00,False,
CCB,C:\pinchbench-ccb\runs\ccb_20260722_141946,False,True,4,6,True,True,1024,2026-07-22T06:21:48.405481+00:00,False,
CCB,C:\pinchbench-ccb\runs\ccb_20260722_140328,False,True,4,6,True,True,1024,2026-07-22T06:05:25.421764+00:00,False,
CCB,C:\pinchbench-ccb\runs\ccb_20260722_135329,False,True,4,5,True,True,1004,2026-07-22T05:58:49.357702+00:00,False,
