agent,task_id,workspace_exists,workspace_path,transcript_exists,transcript_path,score_present,status,grading_type
Codex,task_sanity,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_sanity,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_sanity,True,success,automated
Codex,task_calendar,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_calendar,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_calendar,True,success,automated
Codex,task_pdf_to_calendar,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_pdf_to_calendar,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_pdf_to_calendar,True,success,automated
Codex,task_todo_list_cleanup,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_todo_list_cleanup,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_todo_list_cleanup,True,success,automated
Codex,task_daily_summary,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_daily_summary,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_daily_summary,True,success,llm_judge
Codex,task_email_triage,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_email_triage,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_email_triage,True,success,hybrid
Codex,task_cron_organizer,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_cron_organizer,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_cron_organizer,True,success,automated
Codex,task_subway_navigation,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_subway_navigation,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_subway_navigation,True,success,llm_judge
Codex,task_stock,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_stock,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_stock,True,success,automated
Codex,task_events,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_events,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_events,True,success,llm_judge
Codex,task_market_research,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_market_research,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_market_research,True,success,hybrid
Codex,task_polymarket_briefing,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_polymarket_briefing,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_polymarket_briefing,True,success,hybrid
Codex,task_executive_lookup,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_executive_lookup,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_executive_lookup,True,success,automated
Codex,task_deep_research,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_deep_research,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_deep_research,True,error,llm_judge
Codex,task_competitive_research,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_competitive_research,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_competitive_research,True,success,llm_judge
Codex,task_oss_alternative_research,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_oss_alternative_research,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_oss_alternative_research,True,success,llm_judge
Codex,task_pricing_research,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_pricing_research,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_pricing_research,True,error,llm_judge
Codex,task_it_procurement,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_it_procurement,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_it_procurement,True,success,llm_judge
Codex,task_eu_regulation_research,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_eu_regulation_research,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_eu_regulation_research,True,success,llm_judge
Codex,task_byok_best_practices,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_byok_best_practices,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_byok_best_practices,True,error,llm_judge
Codex,task_blog,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_blog,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_blog,True,success,llm_judge
Codex,task_email,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_email,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_email,True,success,llm_judge
Codex,task_email_reply_drafting,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_email_reply_drafting,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_email_reply_drafting,True,success,llm_judge
Codex,task_humanizer,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_humanizer,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_humanizer,True,success,llm_judge
Codex,task_commit_message_writer,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_commit_message_writer,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_commit_message_writer,True,success,llm_judge
Codex,task_readme_generation,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_readme_generation,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_readme_generation,True,success,llm_judge
Codex,task_weather,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_weather,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_weather,True,success,automated
Codex,task_shell_command_generator,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_shell_command_generator,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_shell_command_generator,True,success,automated
Codex,task_multi_file_refactoring,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_multi_file_refactoring,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_multi_file_refactoring,True,success,automated
Codex,task_dockerfile_optimization,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_dockerfile_optimization,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_dockerfile_optimization,True,success,automated
Codex,task_playwright_e2e,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_playwright_e2e,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_playwright_e2e,True,success,hybrid
Codex,task_git_rescue_recovery,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_git_rescue_recovery,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_git_rescue_recovery,False,success,automated
Codex,task_cicd_pipeline_debug,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_cicd_pipeline_debug,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_cicd_pipeline_debug,True,success,automated
Codex,task_test_generation,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_test_generation,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_test_generation,True,success,hybrid
Codex,task_k8s_debugging,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_k8s_debugging,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_k8s_debugging,True,success,automated
Codex,task_selector_fix,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_selector_fix,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_selector_fix,True,success,hybrid
Codex,task_codebase_navigation,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_codebase_navigation,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_codebase_navigation,True,error,hybrid
Codex,task_browser_automation,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_browser_automation,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_browser_automation,True,success,hybrid
Codex,task_video_transcript_extraction,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_video_transcript_extraction,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_video_transcript_extraction,True,success,llm_judge
Codex,task_iterative_code_refine,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_iterative_code_refine,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_iterative_code_refine,True,success,automated
Codex,task_summary,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_summary,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_summary,True,success,llm_judge
Codex,task_spreadsheet_summary,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_spreadsheet_summary,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_spreadsheet_summary,True,success,hybrid
Codex,task_eli5_pdf_summary,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_eli5_pdf_summary,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_eli5_pdf_summary,True,success,llm_judge
Codex,task_openclaw_comprehension,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_openclaw_comprehension,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_openclaw_comprehension,True,success,automated
Codex,task_email_search,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_email_search,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_email_search,True,success,hybrid
Codex,task_access_log_anomaly,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_access_log_anomaly,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_access_log_anomaly,True,success,automated
Codex,task_financial_ratio_calculation,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_financial_ratio_calculation,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_financial_ratio_calculation,True,success,automated
Codex,task_earnings_analysis,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_earnings_analysis,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_earnings_analysis,True,success,automated
Codex,task_contract_analysis,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_contract_analysis,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_contract_analysis,True,success,llm_judge
Codex,task_image_identification,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_image_identification,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_image_identification,True,success,automated
Codex,task_cve_security_triage,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_cve_security_triage,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_cve_security_triage,True,success,hybrid
Codex,task_session_chain_analysis,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_session_chain_analysis,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_session_chain_analysis,True,success,automated
Codex,task_csv_stock_trend,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_csv_stock_trend,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_csv_stock_trend,True,success,hybrid
Codex,task_csv_stock_volatility,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_csv_stock_volatility,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_csv_stock_volatility,True,success,hybrid
Codex,task_csv_stock_best_worst,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_csv_stock_best_worst,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_csv_stock_best_worst,True,success,hybrid
Codex,task_csv_finance_report,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_csv_finance_report,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_csv_finance_report,True,success,llm_judge
Codex,task_csv_temp_anomalies,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_csv_temp_anomalies,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_csv_temp_anomalies,True,success,hybrid
Codex,task_csv_temp_trend,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_csv_temp_trend,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_csv_temp_trend,True,success,hybrid
Codex,task_csv_temp_decades,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_csv_temp_decades,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_csv_temp_decades,True,success,hybrid
Codex,task_csv_life_exp_ranking,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_csv_life_exp_ranking,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_csv_life_exp_ranking,True,success,hybrid
Codex,task_csv_life_exp_outliers,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_csv_life_exp_outliers,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_csv_life_exp_outliers,True,success,hybrid
